# gunzip -c exp/tri3a/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/tri3a/graph 
# Started at Fri Feb 21 11:15:48 CET 2020
#
At utterance begin, SILE accounts for 99.7% of phone occurrences, with duration (median, mean, 95-percentile) is (36,35.9,55) frames.
At utterance end, SILE accounts for 99.1% of phone occurrences, with duration (median, mean, 95-percentile) is (28,28.5,48) frames.
At utterance end, nonsilence accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (15,15.4,23) frames.
Overall, nonsilence accounts for 93.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.5,18) frames.
Overall, SILE accounts for 6.2% of phone occurrences, with duration (median, mean, 95-percentile) is (25,26.4,55) frames.
Overall, AH0_I accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.1,8) frames.
Overall, N_I accounts for 3.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.7,10) frames.
Overall, DH_B accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.1,8) frames.
Overall, T_E accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.4,16) frames.
Overall, D_E accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.3,13) frames.
Overall, R_I accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.0,12) frames.
Overall, N_E accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.1,18) frames.
Overall, Z_E accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.6,22) frames.
Overall, IH0_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.4,9) frames.
Overall, EH1_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.0,16) frames.
Overall, T_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.1,13) frames.
Overall, L_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.0,13) frames.
Overall, IH1_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,13) frames.
Overall, W_B accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.5,15) frames.
Overall, AH0_E accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.3,9) frames.
