# gunzip -c exp/tri4b/decode2/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/tri4b/graph 
# Started at Sun Apr 12 13:46:50 CEST 2020
#
At utterance begin, SILE accounts for 99.7% of phone occurrences, with duration (median, mean, 95-percentile) is (35,34.9,54) frames.
At utterance end, SILE accounts for 97.3% of phone occurrences, with duration (median, mean, 95-percentile) is (28,28.0,47) frames.
At utterance end, nonsilence accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (27,28.1,48) frames.
At utterance end, Z_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (25,28.2,39) frames.
At utterance end, S_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (31,33.7,52) frames.
Overall, nonsilence accounts for 94.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.5,18) frames.
Overall, SILE accounts for 5.8% of phone occurrences, with duration (median, mean, 95-percentile) is (25,26.6,54) frames.
Overall, AH0_I accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.4,9) frames.
Overall, N_I accounts for 3.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.6,10) frames.
Overall, T_E accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.7,16) frames.
Overall, DH_B accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.1,8) frames.
Overall, D_E accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.0,14) frames.
Overall, R_I accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.1,12) frames.
Overall, N_E accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.1,18) frames.
Overall, Z_E accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.8,24) frames.
Overall, IH0_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.6,10) frames.
Overall, T_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.2,12) frames.
Overall, EH1_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.3,16) frames.
