# gunzip -c exp/mono/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Wed Jan 15 00:07:58 CET 2020
#
At utterance begin, SIL accounts for 99.7% of phone occurrences, with duration (median, mean, 95-percentile) is (98,116.2,207) frames.
At utterance end, SIL accounts for 97.3% of phone occurrences, with duration (median, mean, 95-percentile) is (38,42.8,74) frames.
At utterance end, nonsilence accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.6,28) frames.
At utterance end, N_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.8,25) frames.
At utterance end, T_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.4,25) frames.
Overall, nonsilence accounts for 96.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.7,15) frames.
Overall, AX_I accounts for 5.3% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.3,8) frames.
Overall, Q_B accounts for 4.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.0,8) frames.
Overall, N_I accounts for 4.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.4,11) frames.
Overall, N_E accounts for 4.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.5,16) frames.
Overall, T_I accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,13) frames.
Overall, IH_I accounts for 3.9% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.9,9) frames.
Overall, SIL accounts for 3.5% of phone occurrences, with duration (median, mean, 95-percentile) is (43,60.9,142) frames.
Overall, EH_I accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.0,12) frames.
Overall, AH_I accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.0,16) frames.
Overall, EX_I accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.6,12) frames.
Overall, RR_I accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.9,10) frames.
Overall, D_B accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.4,7) frames.
Overall, L_I accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.1,8) frames.
Overall, T_E accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.8,14) frames.
Overall, UU_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.4,10) frames.
Overall, EX_E accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.8,17) frames.
Overall, AX_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.1,18) frames.
Overall, AY_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.7,20) frames.
Overall, S_I accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.3,17) frames.
Overall, IIH_I accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.5,16) frames.
Overall, EEH_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.7,16) frames.
Overall, S_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.2,21) frames.
Overall, AAH_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (13,12.9,23) frames.
Overall, D_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.9,7) frames.
Overall, G_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.9,9) frames.
Overall, F_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.1,15) frames.
Overall, OOH_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.0,18) frames.
Overall, OO_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.7,15) frames.
Overall, M_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.4,11) frames.
Overall, F_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.9,15) frames.
Overall, CC_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.5,16) frames.
Overall, K_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.0,13) frames.
Overall, B_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.4,10) frames.
Overall, TS_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.4,18) frames.
