# gunzip -c exp/tri2a/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/tri2a/graph 
# Started at Wed Jan 15 05:54:21 CET 2020
#
At utterance begin, SIL accounts for 99.5% of phone occurrences, with duration (median, mean, 95-percentile) is (107,120.7,229) frames.
At utterance end, SIL accounts for 85.9% of phone occurrences, with duration (median, mean, 95-percentile) is (58,58.1,79) frames.
At utterance end, nonsilence accounts for 14.1% of phone occurrences, with duration (median, mean, 95-percentile) is (62,60.2,80) frames.
At utterance end, N_E accounts for 13.6% of phone occurrences, with duration (median, mean, 95-percentile) is (62,61.9,81) frames.
Overall, nonsilence accounts for 96.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.8,14) frames.
Overall, Q_B accounts for 5.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.8,11) frames.
Overall, AX_I accounts for 5.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.1,10) frames.
Overall, N_E accounts for 4.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,8.7,23) frames.
Overall, N_I accounts for 4.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.5,10) frames.
Overall, EH_I accounts for 3.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.9,12) frames.
Overall, IH_I accounts for 3.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.2,9) frames.
Overall, D_B accounts for 3.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.1,8) frames.
Overall, SIL accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (52,62.4,156) frames.
Overall, T_I accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.1,11) frames.
Overall, AH_I accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.2,13) frames.
Overall, T_E accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.2,15) frames.
Overall, EX_I accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.7,11) frames.
Overall, RR_I accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.4,10) frames.
Overall, L_I accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.3,10) frames.
Overall, EX_E accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.8,23) frames.
Overall, UU_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.3,10) frames.
Overall, AX_E accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.4,19) frames.
Overall, AY_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.7,16) frames.
